Bin	Hit 1	Score 1	Hit 2	Score 2	Hit 3	Score 3	Hit 4	Score 4	Hit 5	Score 5	metric
bin_19_a	T04907: Nitrosospira lacus APG3	0.739295271337	T00302: Nitrosospira multiformis ATCC 25196	0.734611258779	T01569: Nitrosomonas sp. Is79A3	0.715222510187	T04188: Nitrosomonas ureae Nm10	0.710610795047	T01443: Nitrosomonas sp. AL212	0.704845809517	spearman correlation
bin_19_b	T02464: Candidatus Kinetoplastibacterium crithidii TCC036E	1661.16546313	T02413: Candidatus Kinetoplastibacterium crithidii (ex Angomonas deanei ATCC 30255)	1661.20438361	T02427: Candidatus Kinetoplastibacterium blastocrithidii (ex Strigomonas culicis)	1661.24992415	T02471: Candidatus Kinetoplastibacterium oncopeltii TCC290E	1661.28202837	T02466: Candidatus Kinetoplastibacterium galatii TCC219	1661.31799786	standardized euclidean dist
bin_1_a	T00878: Gemmatimonas aurantiaca T-27	0.680566571038	T03025: Gemmatirosa kalamazoonesis KBS708	0.654407858397	T04580: Gemmatimonas phototrophica AP64	0.635824724853	T01943: Ignavibacterium album JCM 16511	0.541333413836	T01606: Rhodothermus marinus SG0.5JP17-172	0.526292116593	spearman correlation
bin_1_b	T00878: Gemmatimonas aurantiaca T-27	1671.62612469	T02863: Blattabacterium sp., endocymbiont of Nauphoeta cinerea (gray cockroach)	1672.00609845	T01660: Blattabacterium sp. Cpu, endosymbiont of Cryptocercus punctulatus (brown-hooded cockroach)	1672.14799932	T02446: Blattabacterium sp. (Blatta orientalis) Tarazona	1672.18219675	T02525: Blattabacterium sp. (Panesthia angustipennis spadica) BPAA	1672.21714663	standardized euclidean dist
bin_20_a	T00736: Akkermansia muciniphila ATCC BAA-835	0.587643943747	T03830: Verrucomicrobia bacterium IMCC26134	0.577399074406	T01204: Coraliomargarita akajimensis DSM 45221	0.565913267168	T04551: Akkermansia glycaniphila APytT	0.563578419801	T04108: Candidatus Xiphinematobacter sp. Idaho Grape	0.52019990004	spearman correlation
bin_20_b	T04108: Candidatus Xiphinematobacter sp. Idaho Grape	1600.39824631	T00736: Akkermansia muciniphila ATCC BAA-835	1603.54660761	T02863: Blattabacterium sp., endocymbiont of Nauphoeta cinerea (gray cockroach)	1603.59452254	T02525: Blattabacterium sp. (Panesthia angustipennis spadica) BPAA	1603.60602817	T02446: Blattabacterium sp. (Blatta orientalis) Tarazona	1603.66575604	standardized euclidean dist
bin_21_a	T05319: Candidatus Planktophila vernalis MMS-IIA-15	0.809245994455	T05090: Candidatus Nanopelagicus hibericus MMS-21-160	0.80666160238	T05051: Candidatus Planktophila dulcis	0.805816601249	T05158: Candidatus Planktophila sulfonica MMS-IA-56	0.801848974666	T05073: Candidatus Nanopelagicus limnes	0.801597399729	spearman correlation
bin_21_b	T05090: Candidatus Nanopelagicus hibericus MMS-21-160	1527.21414371	T05073: Candidatus Nanopelagicus limnes	1527.68676479	T05091: Candidatus Nanopelagicus abundans MMS-IIB-91	1528.52770524	T05158: Candidatus Planktophila sulfonica MMS-IA-56	1529.07908467	T05319: Candidatus Planktophila vernalis MMS-IIA-15	1529.34135449	standardized euclidean dist
bin_22_a	T01204: Coraliomargarita akajimensis DSM 45221	0.516528855718	T03830: Verrucomicrobia bacterium IMCC26134	0.503052289228	T01147: Pirellula staleyi DSM 6068	0.477745931024	T04360: Pirellula sp. SH-Sr6A	0.477094320164	T04354: Planctomyces sp. SH-PL14	0.47323740919	spearman correlation
bin_22_b	T04108: Candidatus Xiphinematobacter sp. Idaho Grape	1559.16849869	T05087: Candidatus Endomicrobium trichonymphae Rs-D17	1562.62458547	T00736: Akkermansia muciniphila ATCC BAA-835	1562.71964499	T02863: Blattabacterium sp., endocymbiont of Nauphoeta cinerea (gray cockroach)	1562.87100226	T02525: Blattabacterium sp. (Panesthia angustipennis spadica) BPAA	1562.91607933	standardized euclidean dist
bin_23_a	T03830: Verrucomicrobia bacterium IMCC26134	0.519745866785	T01204: Coraliomargarita akajimensis DSM 45221	0.505258577684	T00736: Akkermansia muciniphila ATCC BAA-835	0.486716105698	T04551: Akkermansia glycaniphila APytT	0.480317472127	T04567: Lacunisphaera limnophila	0.453186312347	spearman correlation
bin_23_b	T04108: Candidatus Xiphinematobacter sp. Idaho Grape	1394.22015809	T02446: Blattabacterium sp. (Blatta orientalis) Tarazona	1394.75835506	T00996: Blattabacterium sp. BPLAN, endosymbiont of Periplaneta americana (American cockroach)	1394.79478478	T02863: Blattabacterium sp., endocymbiont of Nauphoeta cinerea (gray cockroach)	1394.85734557	T02525: Blattabacterium sp. (Panesthia angustipennis spadica) BPAA	1394.9243458	standardized euclidean dist
bin_24_a	T04120: Limnohabitans sp. 103DPR2	0.605434576483	T04121: Limnohabitans sp. 63ED37-2	0.581624949641	T04207: Polynucleobacter duraquae	0.554465619509	T02483: Beta proteobacterium CB	0.529966479714	T00502: Polynucleobacter asymbioticus QLW-P1DMWA-1 (Polynucleobacter sp. QLW-P1DMWA-1) (Polynucleobacter necessarius subsp. asymbioticus QLW-P1DMWA-1)	0.520940679243	spearman correlation
bin_24_b	T04207: Polynucleobacter duraquae	1689.03942357	T00683: Polynucleobacter necessarius subsp. necessarius STIR1	1690.65339206	T04120: Limnohabitans sp. 103DPR2	1690.79399562	T02483: Beta proteobacterium CB	1691.91460844	T02427: Candidatus Kinetoplastibacterium blastocrithidii (ex Strigomonas culicis)	1692.07622788	standardized euclidean dist
bin_25_a	T04568: Desulfococcus multivorans DSM 2059	0.608716788627	T02268: Desulfobacula toluolica Tol2	0.606268417778	T00813: Desulfatibacillum alkenivorans AK-01	0.602859288321	T00418: Syntrophobacter fumaroxidans MPOB	0.596769364398	T01413: Desulfobulbus propionicus DSM 2032	0.581321256845	spearman correlation
bin_25_b	T04224: Caldimicrobium thiodismutans	1688.44684896	T01547: Thermodesulfobacterium geofontis OPF15	1688.50788137	T03212: Thermodesulfobacterium commune DSM 2178	1688.72432799	T00775: Thermodesulfovibrio yellowstonii DSM 11347	1688.86896056	T00610: Desulfococcus oleovorans Hxd3	1689.45046122	standardized euclidean dist
bin_26_a	T00944: Escherichia coli B REL606	0.968493854747	T04390: Shigella sp. PAMC 28760	0.958836355663	T00931: Escherichia coli BL21(DE3)	0.958719892895	T02096: Escherichia coli BL21(DE3)	0.957895089466	T00939: Escherichia coli BL21-Gold(DE3)pLysS AG	0.94426966179	spearman correlation
bin_26_b	T00944: Escherichia coli B REL606	2752.15495224	T04390: Shigella sp. PAMC 28760	2752.529377	T00931: Escherichia coli BL21(DE3)	2752.55868411	T02541: Escherichia coli K-12 MDS42	2752.81416142	T02096: Escherichia coli BL21(DE3)	2752.86713724	standardized euclidean dist
bin_27_a	T01781: Flavobacterium indicum GPTSA100-9	0.756170004509	T01625: Flavobacterium branchiophilum FL-15	0.731104449915	T03296: Flavobacterium psychrophilum FPG3	0.7300160325	T03660: Flavobacterium psychrophilum V4-24	0.727332224582	T03659: Flavobacterium psychrophilum V3-5	0.727318001481	spearman correlation
bin_27_b	T01781: Flavobacterium indicum GPTSA100-9	1580.1469873	T03660: Flavobacterium psychrophilum V4-24	1580.75293172	T03659: Flavobacterium psychrophilum V3-5	1580.80422003	T03661: Flavobacterium psychrophilum v4-33	1580.81388664	T03412: Flavobacterium psychrophilum 950106-1/1	1580.82128777	standardized euclidean dist
bin_28_a	T04613: Minicystis rosea DSM 24000	0.506095608741	T03935: Sandaracinus amylolyticus DSM 53668	0.501562953716	T04010: Chondromyces crocatus Cm c5	0.490367214089	T04033: Labilithrix luteola DSM 27648	0.487194322152	T04035: Vulgatibacter incomptus DSM 27710	0.479501466792	spearman correlation
bin_28_b	T04035: Vulgatibacter incomptus DSM 27710	1718.33469954	T01659: Halobacteriovorax marinus SJ (Bacteriovorax marinus)	1718.78993124	T03076: Neorickettsia helminthoeca Oregon	1719.10968341	T03036: Bdellovibrio bacteriovorus W	1719.21283125	T00216: Anaplasma marginale St. Maries	1719.27639355	standardized euclidean dist
bin_29_a	T02359: Cyanobium gracile PCC 6307	0.748497001212	T04888: Cyanobium sp. NIES-981	0.745400398212	T00523: Synechococcus sp. RCC307	0.736559435881	T04859: Synechococcus sp. WH 8103	0.733202802477	T03345: Synechococcus sp. KORDI-49	0.731468573996	spearman correlation
bin_29_b	T00523: Synechococcus sp. RCC307	1679.79108333	T00142: Prochlorococcus marinus MED4 (subsp. pastoris str. CCMP1986)	1679.8044066	T00465: Prochlorococcus marinus MIT 9515	1679.8565432	T03316: Prochlorococcus sp. MIT 0801	1679.94936579	T00137: Prochlorococcus marinus SS120 (subsp. marinus CCMP1375)	1679.98715568	standardized euclidean dist
bin_2_a	T03830: Verrucomicrobia bacterium IMCC26134	0.582536442118	T01204: Coraliomargarita akajimensis DSM 45221	0.573717772206	T03683: Opitutaceae bacterium TAV5	0.550980580017	T00689: Opitutus terrae PB90-1	0.535000941859	T00736: Akkermansia muciniphila ATCC BAA-835	0.528270274209	spearman correlation
bin_2_b	T04108: Candidatus Xiphinematobacter sp. Idaho Grape	1639.82596947	T01204: Coraliomargarita akajimensis DSM 45221	1645.1467378	T00736: Akkermansia muciniphila ATCC BAA-835	1645.66333131	T03830: Verrucomicrobia bacterium IMCC26134	1646.18179038	T00755: Uncultured Termite group 1 bacterium phylotype Rs-D17	1646.82585515	standardized euclidean dist
bin_30_a	T01196: Sideroxydans lithotrophicus ES-1	0.777081056561	T01295: Gallionella capsiferriformans ES-2	0.745662636859	T02857: Sulfuricella denitrificans skB26	0.716446583495	T00275: Thiobacillus denitrificans ATCC 25259	0.685799771546	T00942: Methylotenera mobilis JLW8	0.655254555202	spearman correlation
bin_30_b	T01196: Sideroxydans lithotrophicus ES-1	1720.00957515	T00438: Candidatus Ruthia magnifica Cm, endosymbiont of Calyptogena magnifica (hydrothermal vent clam)	1721.14380991	T00530: Candidatus Vesicomyosocius okutanii HA, endosymbiont of Calyptogena okutanii (deep-sea clam)	1721.43917285	T03869: Candidatus Methylopumilus planktonicus (Methylophilaceae bacterium MMS-2-53)	1721.62267253	T01295: Gallionella capsiferriformans ES-2	1721.79116489	standardized euclidean dist
bin_31_a	T01800: Phycisphaera mikurensis NBRC 102666	0.525193312643	T01225: Planctopirus limnophila DSM 3776 (Planctomyces limnophilus DSM 3776)	0.518719278024	T01147: Pirellula staleyi DSM 6068	0.490978843724	T04360: Pirellula sp. SH-Sr6A	0.490501444263	T04354: Planctomyces sp. SH-PL14	0.484996678702	spearman correlation
bin_31_b	T02863: Blattabacterium sp., endocymbiont of Nauphoeta cinerea (gray cockroach)	1586.89205524	T01660: Blattabacterium sp. Cpu, endosymbiont of Cryptocercus punctulatus (brown-hooded cockroach)	1586.95168606	T02109: Blattabacterium sp. (Blaberus giganteus), endosymbiont of Blaberus giganteus (Central American giant cockroach)	1587.30439248	T02525: Blattabacterium sp. (Panesthia angustipennis spadica) BPAA	1587.31163615	T01642: Blattabacterium sp. (Mastotermes darwiniensis) MADAR, endosymbiont of Mastotermes darwiniensis (giant northern termite)	1587.31246488	standardized euclidean dist
bin_32_a	T05019: Candidatus Fluviicola riflensis RIFCSPHIGHO2_02_FULL_43_260	0.80523524688	T01455: Fluviicola taffensis DSM 16823	0.797794474321	T04336: Bacteroidetes bacterium UKL13-3	0.741182968351	T01781: Flavobacterium indicum GPTSA100-9	0.73385203643	T03296: Flavobacterium psychrophilum FPG3	0.732338257495	spearman correlation
bin_32_b	T04336: Bacteroidetes bacterium UKL13-3	1586.29163722	T05019: Candidatus Fluviicola riflensis RIFCSPHIGHO2_02_FULL_43_260	1586.39278481	T01660: Blattabacterium sp. Cpu, endosymbiont of Cryptocercus punctulatus (brown-hooded cockroach)	1587.43093356	T04144: Nonlabens sp. MIC269	1587.7953904	T04875: Nonlabens sediminis NBRC 100970	1587.82787923	standardized euclidean dist
bin_33_a	T04121: Limnohabitans sp. 63ED37-2	0.5558596089	T04120: Limnohabitans sp. 103DPR2	0.544759576649	T02483: Beta proteobacterium CB	0.527943732746	T04207: Polynucleobacter duraquae	0.52664471435	T03614: Comamonadaceae bacterium A1	0.517988124039	spearman correlation
bin_33_b	T02466: Candidatus Kinetoplastibacterium galatii TCC219	1663.36696204	T02465: Candidatus Kinetoplastibacterium desouzaii TCC079E	1663.43972841	T02413: Candidatus Kinetoplastibacterium crithidii (ex Angomonas deanei ATCC 30255)	1663.48681935	T02427: Candidatus Kinetoplastibacterium blastocrithidii (ex Strigomonas culicis)	1663.50164888	T02463: Candidatus Kinetoplastibacterium blastocrithidii TCC012E	1663.57503802	standardized euclidean dist
bin_34_a	T00708: Geobacter lovleyi SZ	0.663497997899	T00521: Geobacter uraniireducens Rf4	0.632628817855	T00155: Geobacter sulfurreducens PCA	0.62942492346	T03568: Geobacter pickeringii G13	0.627162084595	T00295: Geobacter metallireducens GS-15	0.62679889238	spearman correlation
bin_34_b	T00708: Geobacter lovleyi SZ	1704.53582832	T00846: Geobacter daltonii FRC-32	1705.77676189	T00436: Pelobacter propionicus DSM 2379	1705.87352673	T00749: Geobacter bemidjiensis Bem	1706.03665433	T00521: Geobacter uraniireducens Rf4	1706.16426768	standardized euclidean dist
bin_35_a	T04336: Bacteroidetes bacterium UKL13-3	0.618243718621	T04392: Flavisolibacter tropicus LCS9	0.600277479588	T03682: Niabella soli DSM 19437	0.585723044068	T04064: Hymenobacter sp. DG25A	0.58197112696	T03659: Flavobacterium psychrophilum V3-5	0.580301580193	spearman correlation
bin_35_b	T04336: Bacteroidetes bacterium UKL13-3	1442.99035387	T03412: Flavobacterium psychrophilum 950106-1/1	1444.54146377	T03660: Flavobacterium psychrophilum V4-24	1444.5509702	T03659: Flavobacterium psychrophilum V3-5	1444.55362896	T03661: Flavobacterium psychrophilum v4-33	1444.62496174	standardized euclidean dist
bin_36_a	T00878: Gemmatimonas aurantiaca T-27	0.449717358651	T00326: Anaeromyxobacter dehalogenans 2CP-C	0.446799468231	T00868: Acidobacterium capsulatum ATCC 51196	0.443287073002	T03007: Desulfurella acetivorans A63	0.441974063205	T00565: Nitratiruptor sp. SB155-2	0.439456800508	spearman correlation
bin_36_b	T04108: Candidatus Xiphinematobacter sp. Idaho Grape	1561.13018845	T02863: Blattabacterium sp., endocymbiont of Nauphoeta cinerea (gray cockroach)	1561.79728164	T02446: Blattabacterium sp. (Blatta orientalis) Tarazona	1561.9100348	T00996: Blattabacterium sp. BPLAN, endosymbiont of Periplaneta americana (American cockroach)	1561.930575	T00792: Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2, endosymbiont of Coptotermes formosanus (Formosan subterranean termite)	1561.99515119	standardized euclidean dist
bin_37_a	T04120: Limnohabitans sp. 103DPR2	0.588851625008	T04227: Paucibacter sp. KCTC 42545	0.561897565085	T04121: Limnohabitans sp. 63ED37-2	0.551672295694	T04455: Hydrogenophaga sp. RAC07	0.536510504495	T04960: Vitreoscilla filiformis ATCC 15551	0.534351802004	spearman correlation
bin_37_b	T00683: Polynucleobacter necessarius subsp. necessarius STIR1	1798.96220026	T04120: Limnohabitans sp. 103DPR2	1799.34118986	T04207: Polynucleobacter duraquae	1799.42784263	T02483: Beta proteobacterium CB	1799.74876755	T00502: Polynucleobacter asymbioticus QLW-P1DMWA-1 (Polynucleobacter sp. QLW-P1DMWA-1) (Polynucleobacter necessarius subsp. asymbioticus QLW-P1DMWA-1)	1800.47772708	standardized euclidean dist
bin_38_a	T04225: Kiritimatiella glycovorans (Verrucomicrobia bacterium L21-Fru-AB)	0.461453709755	T04749: Phycisphaerae bacterium SM-Chi-D1	0.450894148945	T04695: Phycisphaerae bacterium L21-RPul-D3	0.448603380949	T04551: Akkermansia glycaniphila APytT	0.398530330302	T00736: Akkermansia muciniphila ATCC BAA-835	0.394196048943	spearman correlation
bin_38_b	T00755: Uncultured Termite group 1 bacterium phylotype Rs-D17	1495.17803797	T05087: Candidatus Endomicrobium trichonymphae Rs-D17	1495.23000356	T04695: Phycisphaerae bacterium L21-RPul-D3	1496.22320165	T04225: Kiritimatiella glycovorans (Verrucomicrobia bacterium L21-Fru-AB)	1496.50666843	T03965: Endomicrobium proavitum (Candidatus Endomicrobium sp. Rsa215)	1496.79799475	standardized euclidean dist
bin_39_a	T04172: Salinivirga cyanobacteriivorans L21-Spi-D4 (Bacterium L21-Spi-D4)	0.634035084607	T02861: Bacteroidales bacterium CF	0.601075739446	T04336: Bacteroidetes bacterium UKL13-3	0.599628884365	T03660: Flavobacterium psychrophilum V4-24	0.577995605355	T03659: Flavobacterium psychrophilum V3-5	0.57762485669	spearman correlation
bin_39_b	T04336: Bacteroidetes bacterium UKL13-3	1573.86647132	T01660: Blattabacterium sp. Cpu, endosymbiont of Cryptocercus punctulatus (brown-hooded cockroach)	1574.42826339	T00792: Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2, endosymbiont of Coptotermes formosanus (Formosan subterranean termite)	1574.52401472	T02058: Prevotella intermedia 17	1574.71335871	T02861: Bacteroidales bacterium CF	1575.03656386	standardized euclidean dist
bin_3_a	T01491: Haliscomenobacter hydrossis DSM 1100	0.654666232991	T04336: Bacteroidetes bacterium UKL13-3	0.646004240007	T04064: Hymenobacter sp. DG25A	0.630246745941	T04392: Flavisolibacter tropicus LCS9	0.627481508719	T01764: Saprospira grandis Lewin	0.626630020798	spearman correlation
bin_3_b	T04336: Bacteroidetes bacterium UKL13-3	1582.26509725	T04482: Formosa sp. Hel3_A1_48	1583.16642967	T01660: Blattabacterium sp. Cpu, endosymbiont of Cryptocercus punctulatus (brown-hooded cockroach)	1584.34382241	T04465: Formosa sp. Hel1_33_131	1584.6327238	T03660: Flavobacterium psychrophilum V4-24	1584.65429117	standardized euclidean dist
bin_40_a	T04817: Magnetospirillum sp. ME-1	0.739009474092	T00305: Magnetospirillum magneticum AMB-1	0.731112113813	T04231: Magnetospirillum sp. XM-1	0.718212193337	T02960: Magnetospirillum gryphiswaldense MSR-1 v2	0.62692058126	T03795: Magnetospira sp. QH-2	0.555181997349	spearman correlation
bin_40_b	T00305: Magnetospirillum magneticum AMB-1	1739.81224491	T04817: Magnetospirillum sp. ME-1	1742.07873756	T04231: Magnetospirillum sp. XM-1	1742.74700051	T02960: Magnetospirillum gryphiswaldense MSR-1 v2	1747.52315645	T02900: Anaplasma marginale Gypsy Plains	1747.61548515	standardized euclidean dist
bin_41_a	T04396: Methylomonas sp. DH-1	0.614519097014	T05118: Methylomonas koyamae LM6	0.614141470393	T04191: Methylomonas denitrificans FJG1	0.610632993149	T04929: Methylovulum psychrotolerans HV10_M2	0.602544375911	T01511: Methylomonas methanica MC09	0.595372787896	spearman correlation
bin_41_b	T03844: Candidatus Methylopumilus turicensis (Methylophilaceae bacterium MMS-10A-171)	1713.30306558	T03869: Candidatus Methylopumilus planktonicus (Methylophilaceae bacterium MMS-2-53)	1713.69551457	T02466: Candidatus Kinetoplastibacterium galatii TCC219	1714.04176223	T02427: Candidatus Kinetoplastibacterium blastocrithidii (ex Strigomonas culicis)	1714.09548566	T02463: Candidatus Kinetoplastibacterium blastocrithidii TCC012E	1714.2567866	standardized euclidean dist
bin_42_a	T03830: Verrucomicrobia bacterium IMCC26134	0.52719143663	T01204: Coraliomargarita akajimensis DSM 45221	0.522748960503	T04360: Pirellula sp. SH-Sr6A	0.519867356498	T04567: Lacunisphaera limnophila	0.517562632296	T01800: Phycisphaera mikurensis NBRC 102666	0.500821777414	spearman correlation
bin_42_b	T04108: Candidatus Xiphinematobacter sp. Idaho Grape	1568.72576388	T00755: Uncultured Termite group 1 bacterium phylotype Rs-D17	1572.29646823	T00995: Blattabacterium sp. Bge, endosymbiont of Blattella germanica (German cockroach)	1572.3041017	T05087: Candidatus Endomicrobium trichonymphae Rs-D17	1572.31936323	T02525: Blattabacterium sp. (Panesthia angustipennis spadica) BPAA	1572.32380979	standardized euclidean dist
bin_43_a	T01465: Candidatus Pelagibacter sp. IMCC9063	0.690511151115	T00257: Candidatus Pelagibacter ubique HTCC1062	0.629717024034	T02250: Alpha proteobacterium HIMB5	0.623842667233	T02249: Alpha proteobacterium HIMB59	0.53634490883	T02365: Candidatus Endolissoclinum faulkneri L2	0.531992847882	spearman correlation
bin_43_b	T02197: Candidatus Carsonella ruddii HC, endosymbiont of Heteropsylla cubana	1384.39421253	T02196: Candidatus Carsonella ruddii HT, endosymbiont of Heteropsylla texana	1384.44539673	T02194: Candidatus Carsonella ruddii CE, endosymbiont of Ctenarytaina eucalypti	1384.99907069	T00403: Candidatus Carsonella ruddii PV, endosymbiont of Pachypsylla venusta (hackberry petiole gall psyllid)	1385.00156349	T02195: Candidatus Carsonella ruddii CS, endosymbiont of Ctenarytaina spatulata	1385.08262312	standardized euclidean dist
bin_44_a	T01800: Phycisphaera mikurensis NBRC 102666	0.443122145867	T04336: Bacteroidetes bacterium UKL13-3	0.438649467691	T04326: Rufibacter sp. DG15C	0.418577629139	T04064: Hymenobacter sp. DG25A	0.416683218991	T03660: Flavobacterium psychrophilum V4-24	0.41444052709	spearman correlation
